Dates;USGG2YR Index;ES1 Index;SX5E Index;DG FP Equity;;TTE FP Equity;;AI FP Equity;;EL FP Equity;;AIR FP Equity;;CS FP Equity;;CAP FP Equity;;SGO FP Equity;;HENKEL HB Equity;;ML FP Equity;;MC FP Equity;;ORA FP Equity;;SU FP Equity;;SAN FP Equity;;PUB FP Equity;;TE FP Equity;;NESN SW Equity;;GE US Equity;;AAPL US Equity;
Dates;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D
02/01/2012;0.2391;1252.5;2370.2;21.9343;34.412;18.7078;22.467;39.9154;20.332;46.5435;16.77;20.3794;30.004;5.1927;55.362;19.6344;40.159;20.5469;40.326;#N/A N/A;#N/A N/A;7.656;36.91;78.8;30.525;5.4802;24.052;28.9203;42.416;34.8507;22.399;24.1378;23.937;#N/A N/A;#N/A N/A;36.9969;11.232;66.5874;28.237;12.188;29.616
03/01/2012;0.255;1272;2389.91;22.1285;33.045;18.9159;21.822;40.0551;20.232;46.881;16.417;20.3794;30.259;5.2674;53.573;19.7714;39.687;21.0326;37.998;#N/A N/A;#N/A N/A;7.8729;35.151;79.37;29.515;5.4802;24.476;30.1033;40.302;34.7718;22.668;24.0812;23.57;#N/A N/A;#N/A N/A;37.2024;11.91;68.2604;27.39;12.375;30.189
04/01/2012;0.2592;1273;2349.89;21.998;32.826;18.7709;22.328;39.8003;21.002;46.8051;17.683;20.4335;29.057;5.1777;52.77;19.6461;40.058;20.5638;38.852;#N/A N/A;#N/A N/A;7.797;35.966;78.48;29.528;5.3427;25.03;29.2821;41.603;34.1163;23.063;23.9512;23.965;#N/A N/A;#N/A N/A;37.2709;12.615;69.004;26.831;12.442;26.811
05/01/2012;0.2593;1273;2315.75;21.686;33.796;18.6423;22.927;39.1017;22.089;46.2904;17.882;20.7038;29.293;4.9238;57.709;18.9845;40.657;20.1596;39.4;#N/A N/A;#N/A N/A;7.7509;36.717;77.81;28.911;5.2296;26.459;29.5779;41.979;33.6854;24.605;23.688;24.744;#N/A N/A;#N/A N/A;37.3052;12.583;68.9668;26.825;12.58;25.845
06/01/2012;0.2559;1274.25;2298.65;21.479;33.176;18.7031;21.648;38.9989;21.711;46.5773;17.746;20.5998;29.124;4.879;56.826;19.329;40.112;19.8132;40.049;#N/A N/A;#N/A N/A;7.6948;36.743;77.07;29.112;5.2296;26.204;29.5222;41.404;34.1406;23.548;24.511;24.473;#N/A N/A;#N/A N/A;36.9969;12.089;69.3386;26.15;12.712;25.916
09/01/2012;0.2442;1275.5;2286.45;21.5491;34.205;18.6891;21.92;38.9496;22.643;46.9907;17.044;20.683;29.155;4.7516;61.012;19.419;41.917;19.8098;40.391;#N/A N/A;#N/A N/A;7.7335;38.101;77.88;29.268;5.1853;27.011;29.7101;42.139;33.8614;24.036;24.4044;25.733;#N/A N/A;#N/A N/A;37.2024;12.326;70.1194;25.501;12.691;28.176
10/01/2012;0.2404;1286;2347.47;22.2845;32.479;18.9136;21.114;40.2564;20.464;47.5561;16.373;20.8203;28.165;5.1105;54.617;19.8066;41.671;20.9918;37.683;#N/A N/A;#N/A N/A;7.9175;37.273;81.52;27.842;5.2673;24.974;31.0079;39.446;34.4441;22.215;24.9642;24.538;#N/A N/A;#N/A N/A;37.545;11.807;69.5989;24.694;12.737;30.114
11/01/2012;0.2286;1288.25;2339.51;22.5901;31.415;18.6493;21.693;40.1619;20.743;48.1045;15.89;20.9367;27.663;5.1802;53.501;19.56;40.47;21.3587;37.304;#N/A N/A;#N/A N/A;7.849;37.358;80.39;28.245;5.2873;25.354;31.328;38.376;34.2742;22.216;24.8709;24.66;#N/A N/A;#N/A N/A;36.8941;13.691;70.1937;25.21;12.716;29.501
12/01/2012;0.2287;1291.75;2345.85;22.536;31.721;18.2635;22.387;40.0017;21.056;48.1889;15.78;20.8244;27.704;5.2151;51.139;19.3016;42.554;21.4979;37.929;#N/A N/A;#N/A N/A;7.9373;37.096;80.89;28.285;5.2363;25.736;31.2793;38.387;33.9161;22.949;25.1907;25.06;#N/A N/A;#N/A N/A;36.6201;14.395;70.3796;24.607;12.681;29.858
13/01/2012;0.2213;1289;2338.01;22.3131;31.979;18.2471;22.639;40.2441;20.667;47.8851;15.766;20.9201;27.272;5.2275;52.575;19.6931;41.595;21.7425;37.354;#N/A N/A;#N/A N/A;7.915;37.744;80.53;28.803;5.1764;25.705;31.7142;38.944;33.7582;23.548;25.1741;25.676;#N/A N/A;#N/A N/A;36.4488;15.051;70.045;26.056;12.634;30.797
16/01/2012;0.2213;1289;2361.56;22.4054;32.011;18.4669;22.355;40.166;22.048;48.0961;16.567;21.3568;27.886;5.2449;52.856;20.2373;41.19;21.7527;38.441;#N/A N/A;#N/A N/A;8.2078;37.268;82.83;27.332;5.2052;25.647;31.5368;39.411;33.9646;22.815;25.344;25.793;#N/A N/A;#N/A N/A;36.346;16.169;70.045;26.056;12.634;30.797
17/01/2012;0.2174;1289.25;2396.63;22.9275;31.012;18.8247;21.59;40.6838;21.148;48.307;16.265;21.4524;27.818;5.4068;48.793;20.5309;41.033;22.2826;37.011;#N/A N/A;#N/A N/A;8.3373;36.479;82.94;27.596;5.2851;24.011;33.1233;37.756;34.2559;22.595;25.5639;25.73;#N/A N/A;#N/A N/A;36.483;14.648;69.6732;25.793;12.781;30.64
18/01/2012;0.2255;1302.25;2390.64;23.0485;30.93;18.7452;21.122;40.6222;21.222;48.1214;16.666;21.5148;27.458;5.464;47.794;20.7541;40.856;22.5679;37.12;#N/A N/A;#N/A N/A;8.2878;36.23;83.54;27.007;5.1054;26.266;32.9702;37.588;34.2802;22.438;25.6372;26.285;#N/A N/A;#N/A N/A;36.9284;14.536;70.7142;25.749;12.914;29.828
19/01/2012;0.2338;1310.5;2435.04;23.4528;28.821;18.9136;20.587;40.6304;21.297;48.1805;16.257;21.232;27.769;5.81;42.231;21.6272;39.803;23.4884;35.849;#N/A N/A;#N/A N/A;8.5518;35.477;85.06;25.76;5.1187;25.334;33.7948;37.152;33.9707;22.561;25.9171;25.637;#N/A N/A;#N/A N/A;36.7913;14.669;71.1976;24.891;12.873;29.66
20/01/2012;0.2403;1310.75;2426.96;23.4114;28.294;18.6377;19.757;40.2975;21.613;47.3198;18.779;21.336;25.615;5.9345;38.366;21.7407;38.572;23.0231;35.019;#N/A N/A;#N/A N/A;8.5666;34.036;85.31;24.39;5.0855;24.015;33.5409;35.911;33.6976;20.656;25.9205;25.62;#N/A N/A;#N/A N/A;36.6886;14.256;71.1976;21.655;12.648;32.235
