Date;MC1 FP;OTM_Strike_CALL;OTM_Strike_PUT;Start Date;End Date;CALL_OPTION_TICKER;PUT_OPTION_TICKER;MATURITY_CALL;MATURITY_PUT;CALL_PRICE;PUT_PRICE;CF1 Index
20/02/2015;135.38;140;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;21.51;31.26;4801.7
23/02/2015;135.59;140;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;21.66;31.47;4862
24/02/2015;135.55;140;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;21.54;31.39;4887
25/02/2015;135.89;140;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;21.89;31.76;4883.5
26/02/2015;136.18;140;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;22.2;32.09;4910.5
27/02/2015;137.82;140;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;24.08;34;4951.5
02/03/2015;138.54;150;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;24.94;34.92;4918
03/03/2015;136.56;140;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;22.6;32.52;4870.5
04/03/2015;138.83;150;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;25.24;35.19;4916.5
05/03/2015;141.02;150;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;27.82;37.79;4961.5
06/03/2015;142.03;150;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;28.99;38.97;4965.5
09/03/2015;141.1;150;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;27.9;37.83;4938.5
10/03/2015;139.8;150;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;26.35;36.28;4884.5
11/03/2015;144.21;150;140;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;31.52;41.52;4996.5
12/03/2015;143.46;150;140;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;30.65;40.64;4987.5
13/03/2015;144;150;140;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;31.32;41.3;5010
16/03/2015;146.9;150;140;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;34.74;44.72;5060.5
17/03/2015;145.22;150;140;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;32.72;42.71;5029.5
18/03/2015;143.58;150;140;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;30.79;40.76;5032
19/03/2015;141.52;150;130;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;28.35;38.33;5037.5
20/03/2015;142.32;150;140;20/02/2015;20/03/2015;MC1 FP 03/20/15 C140 Equity;MC1 FP 03/20/15 C130 Equity;03/20/15;03/20/15;29.25;39.25;5085.7
23/03/2015;138.33;150;130;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;15.56;24.95;5055
24/03/2015;139.97;150;130;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;17.19;26.75;5091.5
25/03/2015;137.57;140;130;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;14.59;23.99;5023.5
26/03/2015;136.52;140;130;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;13.51;22.8;5008.5
27/03/2015;136.43;140;130;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;13.35;22.66;5035
30/03/2015;138.33;150;130;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;15.2;24.75;5085
31/03/2015;138.03;140;130;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;14.96;24.47;5036
01/04/2015;137.32;140;130;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;14.24;23.68;5061.5
02/04/2015;137.53;140;130;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;14.38;23.88;5074.5
07/04/2015;139.21;150;130;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;16.07;25.76;5149.5
08/04/2015;140.85;150;130;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;17.85;27.64;5138
09/04/2015;143.62;150;140;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;21.09;30.94;5210
10/04/2015;144.97;150;140;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;22.57;32.43;5241
13/04/2015;145.1;150;140;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;22.97;32.77;5254
14/04/2015;141.48;150;130;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;18.34;28.3;5220
15/04/2015;143.96;150;140;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;21.24;31.23;5253.5
16/04/2015;142.15;150;140;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;19.1;29.06;5224.5
17/04/2015;139.13;150;130;20/03/2015;17/04/2015;MC1 FP 04/17/15 C150 Equity;MC1 FP 04/17/15 C140 Equity;04/17/15;04/17/15;#N/A N/A;#N/A N/A;5166
20/04/2015;138.75;150;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;15;35;5128
21/04/2015;139.64;150;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;15.14;34.25;5141
22/04/2015;136.87;140;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;12.08;31.04;5159
23/04/2015;135.56;140;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;10.66;29.48;5126
24/04/2015;137.04;140;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;12.12;31.17;5148.5
27/04/2015;138.41;150;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;13.41;32.75;5218
28/04/2015;135.17;140;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;10.14;29.02;5127
29/04/2015;132.53;140;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;7.8;25.98;4992
30/04/2015;133.26;140;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;8.6;26.78;5012.5
04/05/2015;135.73;140;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;10.68;29.65;5041
05/05/2015;131.6;140;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;6.92;24.93;4940
06/05/2015;131.26;140;120;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;6.42;24.45;4947.5
07/05/2015;132.66;140;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;7.36;26.01;4939
08/05/2015;136.83;140;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;11.14;30.81;5061
11/05/2015;134.75;140;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;8.8;28.38;5026
12/05/2015;132.66;140;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;6.41;25.91;4973.5
13/05/2015;131.39;140;120;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;4.82;24.4;4959.5
14/05/2015;135.17;140;130;17/04/2015;15/05/2015;MC1 FP 05/15/15 C150 Equity;MC1 FP 05/15/15 C130 Equity;05/15/15;05/15/15;8.85;28.85;5028
